conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,90E+18;Thu Feb 27 16:13:58 +0000 2025;0;bener2 worth it uang yg kepake beli merch or album mereka. EFISIENSI ANGGARAN yang tepat!;1,90E+18;;chogiwaulf;in;;0;0;0;https://x.com/chogiwaulf/status/1895145361498611950;1673212555;chogiwaulf
1,90E+18;Thu Feb 27 16:00:51 +0000 2025;0;Efisiensi anggaran program MBG Danantara dan berbagai permasalahan diulas malam ini. Bukti bahwa kepemimpinan saat ini butuh evaluasi secepat mungkin sebelum hancur lebur lebih jauh. Kami hanyalah sekumpulan pemuda dan mahasiswa yg resah akan negeri -nya yg terlalu ngeri https://t.co/XcNoxeH68U;1,90E+18;https://pbs.twimg.com/media/GkzlpvbbAAAuvHA.jpg;;in;Indonesia;0;1;0;https://x.com/rapliyes/status/1895142058635239535;1,73E+18;rapliyes
1,90E+18;Thu Feb 27 15:58:57 +0000 2025;0;Efisiensi anggaran komisi nasional disabilitas katanya dikurangi dari 5.6M jadi cuma 500jt. Ini pemerintah kalo sampe nekat buat tetep eksekusi gila bener sih. Negara seluas ini dg penyandang disabilitas yg ga sedikit malah dianggarin 500jt doang;1,90E+18;;;in;;0;0;0;https://x.com/Babiasik00/status/1895141579062681994;1,07E+18;Babiasik00
1,90E+18;Thu Feb 27 15:29:18 +0000 2025;1;Ini filmmaker indo lagi efisiensi anggaran juga kah apa apa kok reborn lah reboot lah lebih cocok jadi rumah bersalin ketimbang rumah produksi ;1,90E+18;;;in;Jakarta Capital Region;0;1;0;https://x.com/lemoongraz/status/1895134118377333162;118073391;lemoongraz
1,90E+18;Thu Feb 27 15:26:15 +0000 2025;0;Tapi kan anggaran pendidikannya kena efisiensi;1,90E+18;;;in;South East Asia;0;0;0;https://x.com/manusiaoffline/status/1895133352711331938;166887929;manusiaoffline
1,90E+18;Thu Feb 27 15:26:04 +0000 2025;0;efisiensi anggaran polban dipotong 58m internet cm dibayar 3 bulan WKKWKWKWKW;1,90E+18;;;in;;0;4;0;https://x.com/rinaisnotfound/status/1895133304095142061;1,65E+18;rinaisnotfound
1,90E+18;Thu Feb 27 15:23:00 +0000 2025;0;Di Pentagon bagian dari efisiensi dan peningkatan kinerja segala mainan sosial media dipreteli dan disuruh udahan. Di Indonesia kebalikannya total. Justru digas total sekarang ternakan bala daya jempol mengamankan anggaran.;1,90E+18;;;in;;0;0;0;https://x.com/_haye_/status/1895132532070588659;753553855;_haye_
1,90E+18;Thu Feb 27 15:21:54 +0000 2025;0;@04_zainal Pasti karena pemangkasan anggaran eh efisiensi deh;1,90E+18;;04_zainal;in;;0;0;0;https://x.com/rhe26120/status/1895132256962052097;1,77E+18;rhe26120
1,90E+18;Thu Feb 27 15:21:34 +0000 2025;0;Efisiensi Anggaran Disdikbud Lampung Layanan Pendidikan Tetap Prioritas Kamis (27/2/2025) Baca Selengkapnya di: https://t.co/41xfRKLDDz;1,90E+18;;;in;Bandar Lampung;0;0;0;https://x.com/LampungGehNews/status/1895132171628912761;363940365;LampungGehNews
1,90E+18;Thu Feb 27 15:12:24 +0000 2025;8;@DomLica_ @F_OllaJKT48 Yah namanya juga MV mode efisiensi anggaran~;1,90E+18;;DomLica_;in;;0;0;0;https://x.com/mailwolfmo/status/1895129867366314409;1,66E+18;mailwolfmo
